,size,total_sqft,bath,price,site_location,bhk
41,3 BHK,1850.0,3.0,90.0,Alandi Road,3
43,3 BHK,1475.0,2.0,74.0,Alandi Road,3
44,3 BHK,1265.0,2.0,65.0,Alandi Road,3
45,2 BHK,1300.0,2.0,98.0,Alandi Road,2
46,2 BHK,937.0,2.0,35.0,Alandi Road,2
47,2 BHK,1000.0,2.0,58.0,Alandi Road,2
48,2 BHK,700.0,2.0,43.0,Alandi Road,2
49,2 BHK,1265.0,2.0,46.6,Alandi Road,2
50,2 BHK,1008.0,2.0,32.25,Alandi Road,2
51,3 BHK,2072.0,4.0,155.0,Alandi Road,3
53,4 Bedroom,7000.0,4.0,550.0,Alandi Road,4
54,2 BHK,1102.0,2.0,52.0,Alandi Road,2
55,2 BHK,1020.0,2.0,46.5,Alandi Road,2
56,3 BHK,1855.0,3.0,145.0,Alandi Road,3
57,2 BHK,1181.0,2.0,75.0,Alandi Road,2
59,2 BHK,1130.0,2.0,45.2,Alandi Road,2
60,2 BHK,1065.0,2.0,55.0,Alandi Road,2
61,3 BHK,1540.0,3.0,85.0,Alandi Road,3
62,2 BHK,1246.0,2.0,67.4,Alandi Road,2
63,1 BHK,500.0,1.0,30.0,Alandi Road,1
64,2 BHK,1080.0,2.0,45.0,Alandi Road,2
65,3 BHK,1756.0,3.0,128.0,Alandi Road,3
66,2 BHK,914.0,2.0,32.0,Alandi Road,2
67,2 BHK,1150.0,2.0,36.8,Alandi Road,2
68,3 BHK,2144.6,4.0,145.0,Alandi Road,3
70,3 BHK,1856.0,3.0,135.0,Alandi Road,3
71,3 BHK,1800.0,4.0,125.0,Alandi Road,3
72,2 BHK,1338.0,2.0,103.0,Alandi Road,2
74,2 Bedroom,2480.0,2.0,160.0,Alandi Road,2
75,4 BHK,3596.0,5.0,279.0,Alandi Road,4
77,5 Bedroom,2400.0,5.0,200.0,Alandi Road,5
78,2 BHK,1565.0,2.0,69.0,Alandi Road,2
79,2 BHK,1185.0,2.0,51.15,Alandi Road,2
80,2 BHK,1091.0,2.0,33.82,Alandi Road,2
81,2 BHK,1135.0,2.0,68.0,Alandi Road,2
82,4 BHK,2658.0,5.0,189.0,Alandi Road,4
83,4 BHK,3000.0,4.0,301.0,Alandi Road,4
84,3 BHK,1830.0,4.0,150.0,Alandi Road,3
85,3 BHK,1685.0,3.0,115.0,Alandi Road,3
86,2 BHK,890.0,2.0,40.0,Alandi Road,2
87,3 BHK,1260.0,2.0,75.0,Alandi Road,3
88,2 BHK,674.0,1.0,19.9,Alandi Road,2
89,2 BHK,1049.0,2.0,51.0,Alandi Road,2
90,2 BHK,945.0,2.0,35.0,Alandi Road,2
91,3 BHK,1540.0,3.0,90.0,Alandi Road,3
93,2 BHK,1194.0,2.0,51.0,Alandi Road,2
94,2 BHK,1189.0,2.0,45.0,Alandi Road,2
95,2 BHK,1339.0,2.0,53.56,Alandi Road,2
96,2 BHK,1350.0,2.0,68.0,Alandi Road,2
98,2 BHK,1244.0,2.0,88.0,Alandi Road,2
99,3 BHK,1719.0,3.0,135.0,Alandi Road,3
100,1 BHK,416.0,1.0,17.19,Alandi Road,1
101,2 BHK,1041.0,2.0,54.0,Alandi Road,2
102,1 BHK,705.0,1.0,65.0,Alandi Road,1
105,2 BHK,1027.0,2.0,44.0,Alandi Road,2
106,3 BHK,1801.0,3.0,115.0,Alandi Road,3
107,2 BHK,1205.0,2.0,37.0,Alandi Road,2
108,2 BHK,1105.0,2.0,39.5,Alandi Road,2
109,4 BHK,3504.0,4.0,262.0,Alandi Road,4
110,2 BHK,1089.0,2.0,40.0,Alandi Road,2
111,3 BHK,925.0,2.0,49.82,Alandi Road,3
112,3 BHK,1255.0,3.0,90.0,Alandi Road,3
113,2 BHK,1200.0,2.0,45.0,Alandi Road,2
115,2 Bedroom,1200.0,2.0,75.0,Alandi Road,2
118,2 BHK,950.0,2.0,40.0,Ambegaon Budruk,2
119,2 Bedroom,1200.0,2.0,65.0,Ambegaon Budruk,2
120,3 BHK,1180.0,2.0,78.34,Ambegaon Budruk,3
121,2 BHK,1215.0,2.0,67.0,Ambegaon Budruk,2
122,2 BHK,884.0,2.0,41.1,Ambegaon Budruk,2
123,2 BHK,1036.0,2.0,50.0,Ambegaon Budruk,2
124,4 Bedroom,6000.0,5.0,400.0,Ambegaon Budruk,4
125,2 Bedroom,1240.0,2.0,60.0,Ambegaon Budruk,2
126,3 BHK,2060.0,3.0,149.0,Ambegaon Budruk,3
127,3 BHK,1890.0,4.0,127.0,Ambegaon Budruk,3
128,2 BHK,1330.0,2.0,86.98,Ambegaon Budruk,2
129,2 BHK,1115.0,2.0,50.0,Ambegaon Budruk,2
130,2 BHK,1045.0,2.0,45.0,Ambegaon Budruk,2
131,2 BHK,1070.0,2.0,54.0,Ambegaon Budruk,2
132,3 BHK,1340.0,2.0,100.0,Ambegaon Budruk,3
133,3 BHK,1500.0,2.0,143.0,Ambegaon Budruk,3
134,4 BHK,3122.0,6.0,245.0,Ambegaon Budruk,4
135,2 BHK,1089.0,2.0,43.55,Ambegaon Budruk,2
136,4 BHK,3250.0,4.0,230.0,Ambegaon Budruk,4
139,2 BHK,780.0,2.0,25.0,Ambegaon Budruk,2
141,2 BHK,1065.0,2.0,50.0,Ambegaon Budruk,2
142,1 BHK,1351.0,2.0,53.0,Ambegaon Budruk,1
143,2 BHK,1146.0,2.0,39.5,Ambegaon Budruk,2
144,2 BHK,1000.0,2.0,60.0,Ambegaon Budruk,2
145,3 BHK,1665.0,3.0,86.91,Ambegaon Budruk,3
146,2 BHK,1274.0,2.0,48.42,Ambegaon Budruk,2
147,3 BHK,1819.18,3.0,160.0,Ambegaon Budruk,3
148,3 BHK,1444.0,2.0,80.0,Ambegaon Budruk,3
149,2 BHK,1263.0,2.0,78.0,Ambegaon Budruk,2
150,3 BHK,1690.0,3.0,112.0,Ambegaon Budruk,3
151,3 BHK,1500.0,3.0,95.0,Ambegaon Budruk,3
152,1 BHK,709.0,1.0,34.385,Ambegaon Budruk,1
154,2 BHK,1000.0,2.0,68.0,Ambegaon Budruk,2
155,2 BHK,1360.0,2.0,103.0,Ambegaon Budruk,2
156,2 BHK,1140.0,2.0,52.0,Ambegaon Budruk,2
159,2 BHK,1174.0,2.0,75.0,Ambegaon Budruk,2
160,2 BHK,1075.0,2.0,30.0,Ambegaon Budruk,2
162,2 BHK,1390.0,2.0,65.0,Ambegaon Budruk,2
163,2 BHK,1010.0,2.0,35.0,Ambegaon Budruk,2
164,2 BHK,1250.0,2.0,60.0,Ambegaon Budruk,2
165,4 Bedroom,2400.0,5.0,190.0,Ambegaon Budruk,4
167,2 BHK,1200.0,2.0,52.5,Ambegaon Budruk,2
168,2 BHK,919.0,2.0,34.0,Ambegaon Budruk,2
169,2 BHK,1242.0,2.0,65.0,Ambegaon Budruk,2
170,2 BHK,913.0,2.0,36.0,Ambegaon Budruk,2
171,2 BHK,883.0,2.0,45.0,Ambegaon Budruk,2
172,3 BHK,1724.0,3.0,146.0,Ambegaon Budruk,3
174,3 BHK,1444.0,2.0,71.5,Ambegaon Budruk,3
175,2 BHK,1395.0,2.0,75.0,Ambegaon Budruk,2
176,1 BHK,600.0,1.0,47.0,Ambegaon Budruk,1
178,2 BHK,1258.0,2.0,58.0,Ambegaon Budruk,2
180,2 BHK,750.0,2.0,36.5,Ambegaon Budruk,2
181,3 Bedroom,2600.0,3.0,147.0,Ambegaon Budruk,3
182,2 Bedroom,900.0,2.0,55.0,Ambegaon Budruk,2
183,1 BHK,500.0,1.0,20.0,Ambegaon Budruk,1
184,2 BHK,1089.0,2.0,49.0,Ambegaon Budruk,2
185,2 BHK,1086.0,2.0,44.5,Ambegaon Budruk,2
186,3 BHK,1512.0,3.0,103.0,Ambegaon Budruk,3
187,3 BHK,1500.0,3.0,72.99,Ambegaon Budruk,3
188,3 Bedroom,2000.0,2.0,180.0,Ambegaon Budruk,3
189,2 BHK,1215.0,2.0,68.0,Ambegaon Budruk,2
190,3 Bedroom,2400.0,2.0,125.0,Ambegaon Budruk,3
191,3 BHK,2210.0,3.0,165.0,Ambegaon Budruk,3
192,3 BHK,1800.0,3.0,93.0,Ambegaon Budruk,3
193,4 BHK,3122.0,6.0,245.0,Ambegaon Budruk,4
194,3 BHK,1600.0,2.0,90.0,Ambegaon Budruk,3
196,3 BHK,2275.0,4.0,185.0,Ambegaon Budruk,3
197,2 BHK,900.0,2.0,72.0,Ambegaon Budruk,2
198,2 BHK,1398.0,2.0,97.0,Ambegaon Budruk,2
199,4 BHK,3270.0,4.0,205.0,Ambegaon Budruk,4
200,2 BHK,1340.0,2.0,85.0,Ambegaon Budruk,2
201,3 BHK,1350.0,3.0,70.0,Ambegaon Budruk,3
202,3 BHK,2650.0,4.0,175.0,Ambegaon Budruk,3
203,1 BHK,500.0,1.0,33.0,Ambegaon Budruk,1
204,2 BHK,984.0,2.0,45.91,Ambegaon Budruk,2
205,3 BHK,1725.0,3.0,106.0,Ambegaon Budruk,3
206,2 BHK,1035.0,2.0,39.0,Ambegaon Budruk,2
210,2 BHK,1107.83,2.0,41.51,Ambegaon Budruk,2
212,2 BHK,1220.0,2.0,62.0,Ambegaon Budruk,2
213,2 BHK,1200.0,2.0,45.0,Ambegaon Budruk,2
214,2 BHK,1310.0,2.0,60.0,Ambegaon Budruk,2
215,2 BHK,1315.0,2.0,55.0,Ambegaon Budruk,2
216,3 BHK,1450.0,2.0,73.0,Ambegaon Budruk,3
217,2 BHK,1220.0,2.0,55.0,Ambegaon Budruk,2
218,2 Bedroom,1200.0,1.0,50.0,Ambegaon Budruk,2
219,2 BHK,1150.0,2.0,45.99,Ambegaon Budruk,2
220,2 BHK,1165.0,2.0,52.0,Ambegaon Budruk,2
221,2 BHK,1160.0,2.0,49.0,Ambegaon Budruk,2
222,2 BHK,925.0,2.0,35.0,Ambegaon Budruk,2
223,3 BHK,1516.0,3.0,147.0,Ambegaon Budruk,3
224,3 BHK,1790.0,3.0,120.0,Ambegaon Budruk,3
225,2 BHK,1112.0,2.0,58.0,Ambegaon Budruk,2
226,3 BHK,1490.0,3.0,85.0,Ambegaon Budruk,3
228,2 BHK,1200.0,2.0,65.0,Anandnagar,2
232,3 BHK,1460.0,3.0,73.0,Anandnagar,3
233,2 BHK,1300.0,1.0,115.0,Anandnagar,2
234,3 BHK,1662.0,3.0,85.1,Anandnagar,3
236,3 BHK,1535.0,3.0,78.0,Anandnagar,3
237,3 BHK,1730.0,3.0,96.0,Anandnagar,3
238,3 BHK,1400.0,2.0,73.0,Anandnagar,3
240,3 BHK,1757.0,3.0,132.0,Anandnagar,3
241,2 Bedroom,1200.0,2.0,125.0,Anandnagar,2
242,4 Bedroom,1200.0,4.0,83.0,Anandnagar,4
243,4 Bedroom,3555.0,4.0,230.0,Anandnagar,4
244,4 Bedroom,1450.0,3.0,132.0,Anandnagar,4
246,2 BHK,1290.0,2.0,85.0,Anandnagar,2
247,3 BHK,1800.0,3.0,90.0,Anandnagar,3
248,3 BHK,2475.0,4.0,130.0,Anandnagar,3
249,3 BHK,1776.42,3.0,105.0,Anandnagar,3
252,3 BHK,1000.0,2.0,65.0,Anandnagar,3
253,2 BHK,1128.0,2.0,65.0,Anandnagar,2
256,2 BHK,1418.0,2.0,103.0,Anandnagar,2
258,2 BHK,1340.0,2.0,77.0,Anandnagar,2
259,3 BHK,1419.0,2.0,73.0,Anandnagar,3
260,3 BHK,1891.0,3.0,109.0,Anandnagar,3
261,4 Bedroom,2592.0,4.0,250.0,Anandnagar,4
265,3 BHK,1750.0,3.0,130.0,Anandnagar,3
266,3 BHK,2661.0,2.0,226.5,Anandnagar,3
269,2 BHK,1045.0,2.0,58.0,Anandnagar,2
273,1 BHK,750.0,1.0,52.5,Anandnagar,1
274,3 BHK,1732.0,3.0,85.73,Anandnagar,3
278,3 BHK,1910.0,3.0,119.0,Anandnagar,3
279,1 BHK,500.0,2.0,24.0,Anandnagar,1
281,4 BHK,3200.0,4.0,280.0,Anandnagar,4
282,2 BHK,1020.0,2.0,60.0,Anandnagar,2
283,3 BHK,1750.0,3.0,123.0,Anandnagar,3
286,3 BHK,1725.0,2.0,165.0,Anandnagar,3
287,1 BHK,665.0,1.0,32.0,Anandnagar,1
288,4 BHK,2400.0,4.0,250.0,Anandnagar,4
289,3 BHK,1355.0,3.0,83.87,Anandnagar,3
290,4 Bedroom,1200.0,3.0,125.0,Anandnagar,4
293,1 BHK,645.0,1.0,42.5,Anandnagar,1
294,3 BHK,1613.0,3.0,150.0,Anandnagar,3
296,3 BHK,1280.0,2.0,100.0,Anandnagar,3
297,2 BHK,1115.0,2.0,60.0,Anandnagar,2
298,1 BHK,416.0,1.0,18.0,Anandnagar,1
299,3 BHK,1491.0,3.0,88.0,Anandnagar,3
300,3 BHK,1929.0,4.0,101.0,Anandnagar,3
302,3 BHK,1770.0,3.0,90.0,Anandnagar,3
304,3 BHK,2025.0,4.0,115.0,Anandnagar,3
305,3 BHK,1397.0,3.0,105.0,Anandnagar,3
306,3 BHK,1738.0,3.0,110.0,Anandnagar,3
310,4 BHK,3400.0,4.0,275.0,Anandnagar,4
311,1 BHK,702.0,1.0,52.0,Anandnagar,1
312,4 BHK,2895.5,2.0,246.0,Anandnagar,4
313,2 BHK,1330.0,2.0,80.0,Anandnagar,2
314,2 Bedroom,1152.0,1.0,66.0,Anandnagar,2
315,2 BHK,1314.0,2.0,110.0,Anandnagar,2
316,3 BHK,1100.0,2.0,75.0,Anandnagar,3
318,3 BHK,1464.0,2.0,115.0,Anandnagar,3
322,2 BHK,1000.0,2.0,70.0,Anandnagar,2
325,7 BHK,3000.0,6.0,180.0,Anandnagar,7
328,3 BHK,1350.0,2.0,85.0,Anandnagar,3
329,3 BHK,1776.0,3.0,150.0,Anandnagar,3
333,3 BHK,2150.0,3.0,170.0,Anandnagar,3
336,3 BHK,1400.0,3.0,74.0,Anandnagar,3
338,1 BHK,410.0,1.0,10.0,Anandnagar,1
341,2 BHK,1335.0,2.0,72.76,Anandnagar,2
342,2 Bedroom,1600.0,2.0,90.0,Anandnagar,2
343,4 BHK,1917.0,4.0,130.0,Anandnagar,4
344,3 BHK,1521.0,3.0,95.0,Aundh,3
345,3 Bedroom,1200.0,3.0,90.0,Aundh,3
346,2 BHK,1327.0,2.0,98.0,Aundh,2
348,3 BHK,1580.0,2.0,134.0,Aundh,3
349,2 BHK,1355.0,2.0,115.0,Aundh,2
351,2 BHK,1170.0,2.0,57.0,Aundh,2
353,3 BHK,1464.0,2.0,105.0,Aundh,3
354,4 Bedroom,1200.0,4.0,120.0,Aundh,4
355,2 BHK,1180.0,2.0,75.0,Aundh,2
356,3 BHK,2195.0,4.0,127.0,Aundh,3
357,3 BHK,3522.0,3.0,380.0,Aundh,3
358,2 BHK,1192.0,2.0,71.0,Aundh,2
359,3 BHK,2700.0,4.0,270.0,Aundh,3
360,1 BHK,600.0,1.0,16.5,Aundh,1
361,4 BHK,2690.0,4.0,191.0,Aundh,4
363,3 BHK,1270.0,2.0,70.0,Aundh,3
364,3 BHK,1837.0,3.0,145.0,Aundh,3
365,3 BHK,1875.0,3.0,110.0,Aundh,3
367,4 BHK,3181.0,2.0,260.5,Aundh,4
368,2 BHK,1080.0,2.0,53.35,Aundh,2
369,1 RK,440.0,1.0,28.0,Aundh,1
370,2 Bedroom,1350.0,2.0,90.0,Aundh,2
373,1 BHK,630.5,1.0,32.79,Aundh,1
374,3 BHK,1512.0,2.0,110.0,Aundh,3
375,3 BHK,1355.0,3.0,83.87,Aundh,3
376,3 BHK,1521.0,3.0,94.71,Aundh,3
377,2 BHK,1299.0,2.0,85.0,Aundh,2
378,4 BHK,1896.0,3.0,125.0,Aundh,4
379,2 BHK,1140.0,2.0,50.0,Aundh,2
380,2 BHK,1251.0,2.0,88.73,Aundh,2
381,3 BHK,2388.0,4.0,239.0,Aundh,3
382,2 BHK,1200.0,2.0,55.0,Aundh,2
383,2 BHK,1322.0,2.0,86.0,Aundh,2
384,2 BHK,1100.0,2.0,48.0,Aundh,2
386,2 BHK,700.0,2.0,34.98,Aundh,2
387,3 BHK,1450.0,3.0,100.0,Aundh,3
389,3 BHK,1486.0,3.0,83.22,Aundh,3
390,2 BHK,1390.0,2.0,65.31,Aundh,2
392,2 BHK,1290.0,2.0,80.0,Aundh,2
393,2 BHK,1302.0,2.0,68.5,Aundh,2
395,3 BHK,1610.0,4.0,85.0,Aundh,3
399,3 BHK,1706.0,3.0,154.0,Aundh,3
400,2 BHK,1000.0,1.0,90.0,Aundh,2
402,3 BHK,1665.0,3.0,110.0,Aundh,3
403,6 Bedroom,3900.0,6.0,195.0,Aundh,6
405,3 BHK,1335.0,2.0,87.0,Aundh,3
406,3 BHK,1700.0,3.0,150.0,Aundh,3
407,4 Bedroom,3500.0,4.0,289.0,Aundh,4
409,2 BHK,1087.0,2.0,54.3,Aundh,2
413,2 BHK,1066.0,2.0,52.23,Aundh,2
414,2 BHK,1250.0,2.0,95.0,Aundh,2
415,2 BHK,1255.0,2.0,84.0,Aundh,2
416,2 BHK,1180.0,2.0,60.0,Aundh,2
417,3 BHK,3155.0,3.0,315.0,Aundh,3
418,3 BHK,2003.0,3.0,200.0,Aundh,3
421,1 BHK,700.0,1.0,35.0,Aundh,1
425,4 BHK,2330.0,5.0,175.0,Aundh,4
427,2 BHK,750.0,2.0,40.0,Aundh,2
428,3 BHK,1842.0,3.0,115.0,Aundh,3
429,4 Bedroom,1632.0,3.0,140.0,Aundh,4
431,1 Bedroom,1350.0,1.0,55.0,Aundh,1
432,4 BHK,3930.0,5.0,330.0,Aundh,4
434,4 Bedroom,1560.0,3.0,149.0,Aundh,4
435,2 BHK,1416.0,2.0,67.0,Aundh,2
437,1 BHK,1090.0,2.0,31.48,Aundh,1
440,3 BHK,1400.0,3.0,75.0,Aundh,3
441,3 BHK,1885.0,3.0,135.0,Aundh,3
443,6 BHK,5100.0,5.0,300.0,Aundh,6
445,2 Bedroom,2400.0,2.0,125.0,Aundh,2
446,1 Bedroom,540.0,1.0,22.0,Aundh,1
447,4 Bedroom,2400.0,3.0,185.0,Aundh,4
448,4 Bedroom,4723.0,4.0,500.0,Aundh,4
449,2 BHK,1290.0,2.0,72.0,Aundh,2
450,3 BHK,1482.0,3.0,110.0,Aundh,3
451,2 BHK,1094.0,2.0,54.0,Aundh,2
452,2 BHK,1234.0,2.0,80.0,Aundh,2
454,3 BHK,1810.0,3.0,97.83,Aundh,3
456,3 BHK,1648.0,3.0,85.0,Aundh,3
457,3 BHK,1703.0,3.0,120.0,Aundh,3
459,3 BHK,2502.0,3.0,138.0,Aundh Road,3
462,3 BHK,1826.0,3.0,121.0,Aundh Road,3
465,1 Bedroom,600.0,1.0,50.0,Aundh Road,1
469,2 BHK,1234.0,2.0,80.0,Aundh Road,2
470,2 BHK,1330.0,2.0,92.5,Aundh Road,2
471,6 Bedroom,2200.0,6.0,68.0,Aundh Road,6
472,3 BHK,1650.0,3.0,125.0,Aundh Road,3
475,4 Bedroom,2400.0,3.0,142.0,Aundh Road,4
477,3 BHK,2479.13,3.0,215.0,Aundh Road,3
478,4 Bedroom,3000.0,4.0,200.0,Aundh Road,4
480,4 BHK,2503.0,4.0,188.0,Aundh Road,4
483,3 Bedroom,1500.0,3.0,97.0,Aundh Road,3
484,7 Bedroom,7500.0,7.0,400.0,Aundh Road,7
485,4 Bedroom,1800.0,4.0,110.0,Aundh Road,4
489,2 Bedroom,1100.0,2.0,68.0,Aundh Road,2
492,1 BHK,605.0,1.0,40.0,Aundh Road,1
493,2 Bedroom,1200.0,2.0,100.0,Aundh Road,2
494,3 BHK,1600.0,2.0,115.0,Aundh Road,3
495,2 BHK,1369.1,2.0,104.0,Aundh Road,2
498,3 BHK,1948.0,3.0,130.0,Aundh Road,3
500,3 BHK,1810.0,3.0,126.0,Aundh Road,3
503,1 RK,412.5,1.0,19.8,Aundh Road,1
505,1 Bedroom,540.0,1.0,16.5,Aundh Road,1
506,1 BHK,850.0,1.0,57.0,Aundh Road,1
507,3 BHK,1475.0,3.0,78.0,Aundh Road,3
509,1 BHK,905.0,1.0,52.0,Aundh Road,1
510,3 BHK,1293.0,2.0,85.0,Aundh Road,3
513,3 BHK,2968.0,3.0,225.0,Aundh Road,3
516,3 BHK,1600.0,3.0,112.0,Aundh Road,3
520,2 BHK,1000.0,2.0,70.65,Aundh Road,2
523,3 BHK,2134.0,4.0,118.0,Aundh Road,3
526,2 BHK,1290.0,2.0,90.0,Aundh Road,2
527,1 BHK,661.0,1.0,40.0,Aundh Road,1
529,3 BHK,1730.0,3.0,93.0,Aundh Road,3
530,3 BHK,1650.0,3.0,90.75,Aundh Road,3
532,2 Bedroom,616.0,3.0,45.0,Aundh Road,2
533,2 BHK,1100.0,2.0,70.0,Aundh Road,2
534,2 BHK,900.0,2.0,60.0,Aundh Road,2
539,1 BHK,645.0,1.0,41.0,Aundh Road,1
541,3 Bedroom,900.0,3.0,79.0,Aundh Road,3
542,3 BHK,1222.0,3.0,95.0,Aundh Road,3
544,2 BHK,1130.0,2.0,68.0,Aundh Road,2
545,2 Bedroom,1000.0,2.0,66.0,Aundh Road,2
551,3 BHK,1650.0,3.0,126.0,Aundh Road,3
555,2 BHK,1293.0,2.0,80.0,Aundh Road,2
556,2 BHK,1245.0,2.0,80.0,Aundh Road,2
558,3 BHK,1300.0,2.0,69.0,Aundh Road,3
565,3 BHK,1500.0,3.0,90.0,Aundh Road,3
566,3 BHK,2140.0,3.0,139.0,Aundh Road,3
567,2 Bedroom,1000.0,2.0,66.0,Aundh Road,2
571,2 BHK,1170.0,2.0,38.0,Balaji Nagar,2
572,3 Bedroom,1783.0,3.0,115.0,Balaji Nagar,3
573,2 BHK,1349.0,2.0,98.2,Balaji Nagar,2
574,2 BHK,1245.0,2.0,94.0,Balaji Nagar,2
575,1 Bedroom,540.0,1.0,36.0,Balaji Nagar,1
576,3 BHK,1779.0,3.0,89.61,Balaji Nagar,3
577,2 BHK,1342.0,2.0,73.3,Balaji Nagar,2
579,3 BHK,1937.0,3.0,160.0,Balaji Nagar,3
580,2 BHK,1400.0,2.0,78.0,Balaji Nagar,2
581,2 Bedroom,1200.0,2.0,71.0,Balaji Nagar,2
582,2 BHK,1440.0,2.0,98.0,Balaji Nagar,2
583,2 BHK,1297.0,2.0,103.0,Balaji Nagar,2
584,2 Bedroom,1200.0,3.0,72.0,Balaji Nagar,2
585,2 BHK,1240.0,2.0,44.0,Balaji Nagar,2
586,3 BHK,1846.0,3.0,140.0,Balaji Nagar,3
587,3 BHK,2045.0,4.0,154.0,Balaji Nagar,3
588,2 BHK,1238.0,2.0,55.0,Balaji Nagar,2
589,2 BHK,983.0,2.0,50.6,Balaji Nagar,2
590,3 BHK,1583.0,3.0,105.0,Balaji Nagar,3
591,4 BHK,2524.0,5.0,190.0,Balaji Nagar,4
592,4 Bedroom,3200.0,4.0,205.0,Balaji Nagar,4
593,3 BHK,1800.0,3.0,110.0,Balaji Nagar,3
594,3 BHK,1700.0,2.0,100.0,Balaji Nagar,3
595,3 BHK,1493.0,3.0,82.0,Balaji Nagar,3
596,4 BHK,3181.0,4.0,260.5,Balaji Nagar,4
597,2 BHK,1156.0,2.0,49.5,Balaji Nagar,2
598,3 BHK,1697.0,3.0,115.0,Balaji Nagar,3
599,3 BHK,1350.0,2.0,87.01,Balaji Nagar,3
600,3 BHK,1650.0,3.0,100.0,Balaji Nagar,3
601,2 BHK,995.0,2.0,34.82,Balaji Nagar,2
603,3 BHK,1532.0,3.0,83.0,Balaji Nagar,3
604,2 BHK,1128.0,2.0,65.5,Balaji Nagar,2
605,2 BHK,1355.0,2.0,75.0,Balaji Nagar,2
606,2 BHK,990.0,2.0,40.0,Balaji Nagar,2
607,4 Bedroom,3600.0,4.0,260.0,Balaji Nagar,4
608,3 BHK,1656.0,3.0,150.0,Balaji Nagar,3
609,4 Bedroom,1600.0,4.0,112.0,Balaji Nagar,4
611,2 BHK,1041.0,2.0,36.44,Balaji Nagar,2
612,2 BHK,1246.0,2.0,62.3,Balaji Nagar,2
613,4 Bedroom,4830.0,5.0,390.0,Balaji Nagar,4
614,5 Bedroom,4400.0,4.0,350.0,Balaji Nagar,5
615,2 BHK,1100.0,2.0,62.0,Balaji Nagar,2
616,1 BHK,709.0,1.0,34.735,Balaji Nagar,1
619,3 BHK,1917.0,4.0,100.0,Balaji Nagar,3
620,2 BHK,1303.0,2.0,55.79,Balaji Nagar,2
621,3 Bedroom,1200.0,2.0,66.0,Balaji Nagar,3
623,2 BHK,1519.0,2.0,65.0,Balaji Nagar,2
624,3 BHK,2010.0,3.0,125.0,Balaji Nagar,3
625,3 BHK,1450.0,3.0,75.0,Balaji Nagar,3
626,2 BHK,1200.0,2.0,90.0,Balaji Nagar,2
627,6 BHK,4250.0,6.0,150.0,Balaji Nagar,6
628,2 BHK,1185.0,2.0,41.0,Balaji Nagar,2
629,2 BHK,907.0,2.0,38.0,Balaji Nagar,2
630,4 BHK,4003.0,6.0,300.0,Balaji Nagar,4
631,3 BHK,3496.5,2.0,237.5,Balaji Nagar,3
632,2 BHK,1369.1,2.0,98.0,Balaji Nagar,2
633,2 BHK,1109.0,2.0,35.22,Balaji Nagar,2
634,2 BHK,1180.0,2.0,52.0,Balaji Nagar,2
635,2 BHK,1375.0,2.0,78.0,Balaji Nagar,2
636,2 BHK,1280.0,2.0,60.16,Balaji Nagar,2
637,2 BHK,620.0,1.0,23.5,Balaji Nagar,2
638,3 BHK,1536.0,3.0,104.0,Balaji Nagar,3
